screen_id,node_id,figma_node_id,node_type,gt_x,gt_y,gt_w,gt_h,rec_x,rec_y,rec_w,rec_h,iou,al_reachable,local_iou,visible
309,71714,5749:99351,TEXT,23069.0,11819.5,78.0,15.0,23069.0,11766.5,78.0,15.0,0.000000,1,1.000000,1
309,71723,5749:99356,FRAME,23255.0,12060.0,332.0,361.0,23069.0,11784.0,332.0,361.0,0.054599,0,0.091767,1
309,71776,I5749:99408;5749:82458,INSTANCE,23295.0,12634.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
309,71784,I5749:99409;5749:82458,INSTANCE,23343.0,12634.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
309,71791,I5749:99410;5749:82458,INSTANCE,23391.0,12634.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
309,71798,I5749:99411;5749:82458,INSTANCE,23439.0,12634.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
309,71804,I5749:99412;5749:82458,INSTANCE,23487.0,12634.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
309,71810,I5749:99413;5749:82458,INSTANCE,23535.0,12634.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
309,71820,5749:99417,INSTANCE,23241.0,11954.0,40.0,40.0,23036.0,12011.0,40.0,40.0,0.000000,1,1.000000,1
309,71840,5749:99422,FRAME,23241.0,12016.0,88.0,106.0,23036.0,12073.0,88.0,106.0,0.000000,1,1.000000,1
309,71961,5749:99503,INSTANCE,23241.0,12598.0,182.5,52.0,23036.0,12655.0,182.5,52.0,0.000000,1,1.000000,1
309,71979,I5749:99506;5749:82458,INSTANCE,23238.0,11717.0,20.0,20.0,23238.0,11557.0,20.0,20.0,0.000000,1,1.000000,1
309,71985,I5749:99507;5749:82458,INSTANCE,23352.0,11717.0,20.0,20.0,23356.0,11557.0,20.0,20.0,0.000000,1,0.666667,1
309,71991,I5749:99508;5749:82458,INSTANCE,23400.0,11717.0,20.0,20.0,23404.0,11557.0,20.0,20.0,0.000000,1,0.666667,1
309,71997,I5749:99509;5749:82458,INSTANCE,23448.0,11717.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
309,72006,I5749:99510;5749:82458,INSTANCE,23496.0,11717.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
309,72012,I5749:99511;5749:82458,INSTANCE,23544.0,11717.0,20.0,20.0,23548.0,11557.0,20.0,20.0,0.000000,1,0.666667,1
309,72019,I5749:99512;5749:82458,INSTANCE,23592.0,11717.0,20.0,20.0,23596.0,11557.0,20.0,20.0,0.000000,1,0.666667,1
309,72028,I5749:99514;5749:82458,INSTANCE,23355.0,12634.0,20.0,20.0,23359.0,11557.0,20.0,20.0,0.000000,1,0.666667,1
309,72034,I5749:99515;5749:82458,INSTANCE,23415.0,12634.0,20.0,20.0,23419.0,11557.0,20.0,20.0,0.000000,1,0.666667,1
309,72040,I5749:99516;5749:82458,INSTANCE,23475.0,12634.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
309,72047,I5749:99518;5749:82458,INSTANCE,23289.0,11717.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
309,72053,I5749:99519;5749:82458,INSTANCE,23472.0,11717.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
309,72060,I5749:99521;5749:82458,INSTANCE,23252.0,12634.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
309,72066,I5749:99522;5749:82458,INSTANCE,23517.0,12634.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
309,72072,I5749:99523;5749:82458,INSTANCE,23573.0,12634.0,20.0,20.0,0.0,0.0,20.0,20.0,0.000000,1,0.000000,0
309,72079,I5749:99525;5749:82458,INSTANCE,23287.0,11788.0,20.0,20.0,23311.0,11557.0,20.0,20.0,0.000000,1,1.000000,1
309,72087,I5749:99526;5749:82458,INSTANCE,23433.0,11788.0,20.0,20.0,23457.0,11557.0,20.0,20.0,0.000000,1,1.000000,1
309,72098,I5749:99527;5749:84278,INSTANCE,23027.0,11624.0,40.0,40.0,-10.0,-10.0,40.0,40.0,0.000000,1,0.000000,0
309,72130,I5749:99527;5749:84285,FRAME,23319.0,11637.5,43.0,13.0,0.0,0.0,43.0,13.0,0.000000,1,0.000000,0
309,72174,I5749:99527;5749:84292,INSTANCE,23681.999998950927,11631.999998950927,24.0,24.0,0.0,0.0,24.0,24.0,0.000000,1,0.000000,0
309,72223,I5749:99529;5749:93086,ELLIPSE,23418.5,11546.5,5.0,5.0,23418.5,11546.5,5.0,5.0,1.000000,1,1.000000,1
309,72227,I5749:99529;5749:93090,FRAME,23032.0,11571.0,207.0,22.0,23032.0,11571.0,207.0,22.0,1.000000,1,1.000000,1
309,72249,I5749:99530;5749:93106,TEXT,23027.0,11542.0,26.0,14.0,23027.0,11542.0,26.0,14.0,1.000000,1,1.000000,1
309,72252,I5749:99530;5749:93109,VECTOR,23728.947265625,11544.0,16.5,10.0,23728.946617126465,11544.0,16.5,10.0,0.999921,1,1.000000,1
309,71715,5749:99352,FRAME,23558.0,11817.0,231.0,20.0,23558.0,11764.0,231.0,20.0,0.000000,1,1.000000,1
309,71765,5749:99398,FRAME,23161.0,11928.0,521.0,87.0,23069.0,11784.0,521.0,87.0,0.000000,0,0.000000,1
309,71778,I5749:99408;5749:82459,TEXT,23299.0,12638.0,94.0,12.0,0.0,0.0,94.0,12.0,0.000000,1,0.000000,0
309,71786,I5749:99409;5749:82459,TEXT,23347.0,12638.0,94.0,12.0,0.0,0.0,94.0,12.0,0.000000,1,0.000000,0
309,71793,I5749:99410;5749:82459,TEXT,23395.0,12638.0,94.0,12.0,0.0,0.0,94.0,12.0,0.000000,1,0.000000,0
309,71800,I5749:99411;5749:82459,TEXT,23443.0,12638.0,94.0,12.0,0.0,0.0,94.0,12.0,0.000000,1,0.000000,0
309,71806,I5749:99412;5749:82459,TEXT,23491.0,12638.0,94.0,12.0,0.0,0.0,94.0,12.0,0.000000,1,0.000000,0
309,71812,I5749:99413;5749:82459,TEXT,23539.0,12638.0,94.0,12.0,0.0,0.0,94.0,12.0,0.000000,1,0.000000,0
309,71826,5749:99418,TEXT,23295.0,11957.0,217.0,34.0,23090.0,12014.0,217.0,34.0,0.000000,1,1.000000,1
309,71846,5749:99426,FRAME,23338.0,12016.0,88.0,106.0,23133.0,12073.0,88.0,106.0,0.000000,1,1.000000,1
309,71969,5749:99504,INSTANCE,23437.5,12598.0,182.5,52.0,23232.5,12655.0,182.5,52.0,0.000000,1,1.000000,1
309,71981,I5749:99506;5749:82459,TEXT,23268.0,11721.0,64.0,12.0,23268.0,11561.0,64.0,12.0,0.000000,1,1.000000,1
309,71987,I5749:99507;5749:82459,TEXT,23356.0,11721.0,21.0,12.0,0.0,0.0,21.0,12.0,0.000000,1,0.000000,0
309,71993,I5749:99508;5749:82459,TEXT,23404.0,11721.0,35.0,12.0,0.0,0.0,35.0,12.0,0.000000,1,0.000000,0
309,71999,I5749:99509;5749:82459,TEXT,23452.0,11721.0,94.0,12.0,0.0,0.0,94.0,12.0,0.000000,1,0.000000,0
309,72008,I5749:99510;5749:82459,TEXT,23500.0,11721.0,94.0,12.0,0.0,0.0,94.0,12.0,0.000000,1,0.000000,0
